time,plate_num
01:18.46,T404PB
01:21.79,T404PB
01:30.33,H175XH
01:30.53,H175XH
01:48.20,H175XH
01:48.66,H175XH
01:49.13,H175XH
01:49.53,H175XH
01:52.13,H175XH
01:52.73,H175XH
01:53.40,H175XH
01:54.20,H175XH
02:21.93,T971EE
02:22.73,T971EE
02:23.13,T971EE
02:23.33,T971EE
02:23.80,T971EE
02:24.26,T971EE
02:24.59,T971EE
02:25.13,T971EE
02:25.40,T971EE
02:25.73,T971EE
02:34.46,A358CM
02:34.93,A358CM
02:35.26,A358CM
02:35.59,A358CM
02:35.86,A358CM
02:36.46,A358CM
02:37.13,A358CM
02:39.73,A358CM
02:48.66,M884HC
02:49.59,M884HC
02:49.86,M884HC
02:50.26,M884HC
02:51.40,M884HC
